t,name,resid
12.75,Transient 5,-0.45949768943270436
13,Transient 1,0.12485916760742666
13,Transient 2,1.224343368374823
13,Transient 3,-1.6427925686773066
13,Transient 4,-1.610348894207077
13,Transient 5,-2.0464358628631487
13.25,Transient 1,-0.1117832914410757
13.25,Transient 2,-0.1903937635528947
13.25,Transient 3,0.010557200603639853
13.25,Transient 4,0.5199263901195885
13.25,Transient 5,-2.1570462266553947
13.5,Transient 1,1.4525787230505114
13.5,Transient 2,2.17955384353965
13.5,Transient 3,-0.7271965931636376
13.5,Transient 4,-0.2724586878091864
13.5,Transient 5,0.6967893247597743
13.75,Transient 1,-0.4296353964080405
13.75,Transient 2,0.16659320887014667
13.75,Transient 3,-1.7217402590661677
13.75,Transient 4,-0.5669578149449459
13.75,Transient 5,-0.7697518690777332
14,Transient 1,0.4778346606749851
14,Transient 2,1.5775630081120968
14,Transient 3,0.47083320207429613
14,Transient 4,2.0764884894491993
14,Transient 5,-0.9128101454017976
14.25,Transient 1,-0.40948443613615865
14.25,Transient 2,0.5284161173778568
14.25,Transient 3,0.32182881859215856
14.25,Transient 4,0.9061974794682792
14.25,Transient 5,0.36835234353452817
14.5,Transient 1,-1.4439514638946884
14.5,Transient 2,-0.0534426200105232
14.5,Transient 3,0.43234409746288066
14.5,Transient 4,-0.009026623198232588
14.5,Transient 5,-0.18480266025653963
14.75,Transient 1,-2.130060509927348
14.75,Transient 2,0.012822654626938514
14.75,Transient 3,0.750956415562649
14.75,Transient 4,0.5377781255800648
14.75,Transient 5,-0.9033317378132992
15,Transient 1,-0.9085109512049847
15,Transient 2,0.4057201125779654
15,Transient 3,-0.06135098141216168
15,Transient 4,0.40645984394560253
15,Transient 5,0.5342243772817321
15.25,Transient 1,3.2955429382629844
15.25,Transient 2,-0.70320855198344
15.25,Transient 3,-0.6002797543007834
15.25,Transient 4,-1.5954771525330058
15.25,Transient 5,-0.08322062505045015
15.5,Transient 1,-0.5201275057438598
15.5,Transient 2,0.33056160590380784
15.5,Transient 3,1.5353114346174372
15.5,Transient 4,-0.9676321013472049
15.5,Transient 5,0.7587967466013146
15.75,Transient 1,-0.6961537619778004
15.75,Transient 2,-0.7621598627765275
15.75,Transient 3,2.073440870235977
15.75,Transient 4,-0.22809560579247865
15.75,Transient 5,1.7476819811087325
16,Transient 1,0.5173080028815279
16,Transient 2,-1.0005614168009789
16,Transient 3,0.26535005712390575
16,Transient 4,-0.5637943153556547
16,Transient 5,0.4809117958196115
16.25,Transient 1,-0.050543119508855545
