x1,x2,x3,x4,x5,x6
73.99820765586995,2,7,22731,3853,12384
74.25425681730894,1,9,22660,3955,12399
74.51030597874794,0,5,22335,3884,12311
74.76635514018693,2,12,21887,3951,12273
75.02240430162593,1,11,22342,3867,12244
75.27845346306492,1,13,22060,3917,12397
75.53450262450392,1,6,22168,3862,12175
75.79055178594291,0,15,21653,3810,12291
76.0466009473819,0,7,21981,3930,12151
76.3026501088209,1,8,21949,3966,11695
76.5586992702599,0,9,21531,3886,11896
76.81474843169889,1,3,21497,3844,12004
77.07079759313788,1,7,21459,3817,12160
77.32684675457688,1,7,21547,3873,11933
77.58289591601587,0,7,21268,3848,11839
77.83894507745487,2,12,21295,3870,12190
78.09499423889386,0,7,21376,3801,12058
78.35104340033288,2,11,21194,3816,11932
78.60709256177188,0,6,21120,3787,11959
78.86314172321087,4,5,20803,3808,11897
79.11919088464987,0,9,20627,3914,11805
79.37524004608886,0,6,20830,3614,11638
79.63128920752786,3,6,20731,3819,11824
79.88733836896685,0,6,20502,3712,11859
80.14338753040585,0,5,20654,3720,11570
80.39943669184484,0,5,20347,3799,11574
80.65548585328384,0,6,20290,3754,11776
80.91153501472283,2,8,20233,3739,11574
81.16758417616182,0,5,20266,3656,11725
81.42363333760082,1,4,20073,3697,11544
81.67968249903981,1,9,20329,3646,11328
81.93573166047881,1,9,20183,3714,11652
82.1917808219178,2,10,19995,3653,11250
82.4478299833568,0,9,19636,3718,11358
82.70387914479582,1,8,19708,3709,11393
82.95992830623481,0,3,19293,3600,11415
83.21597746767381,2,9,19633,3712,11304
83.4720266291128,0,9,19427,3673,11316
83.7280757905518,2,6,19584,3657,11439
83.9841249519908,1,9,19147,3546,11299
84.24017411342979,1,3,19114,3581,11097
84.49622327486878,2,5,19078,3716,11174
84.75227243630778,2,5,18933,3505,11319
85.00832159774677,0,6,19002,3441,11088
85.26437075918577,0,4,18777,3652,11183
85.52041992062476,2,5,18562,3583,10886
85.77646908206376,0,10,18493,3526,11124
86.03251824350275,0,6,18761,3473,11024
86.28856740494174,0,4,18623,3482,10794
86.54461656638074,0,7,18878,3657,11110
86.80066572781976,0,8,18376,3623,11070
87.05671488925876,0,6,18215,3528,10991
87.31276405069775,1,4,18188,3534,10810
87.56881321213675,0,6,18144,3515,10816
87.82486237357574,2,8,18016,3549,10761
88.08091153501474,1,5,17852,3507,10779
88.33696069645373,0,6,18046,3503,10860
88.59300985789272,1,7,17831,3390,10776
88.84905901933172,1,6,17801,3510,10582
