x1,x2,x3,x4,x5,x6
40.19971834592242,2,123,25336,24225,13680
40.455767507361415,2,108,25069,24186,13273
40.711816668800424,4,117,24925,23883,13542
40.96786583023942,4,127,25218,23925,13333
41.22391499167841,3,82,24821,23826,13397
41.47996415311741,3,101,25112,24108,13658
41.7360133145564,5,101,24978,23733,13293
41.9920624759954,3,75,24826,23805,13055
42.24811163743439,0,81,24645,23871,13332
42.504160798873386,1,82,24708,23696,13313
42.76020996031238,4,81,24564,23599,13280
43.01625912175139,4,90,24244,23747,12977
43.272308283190384,3,74,24542,23690,13195
43.52835744462938,2,87,24148,23595,12925
43.78440660606837,1,99,24482,23747,13250
44.04045576750737,0,72,24144,23395,13182
44.29650492894636,2,60,24071,23427,12909
44.55255409038536,2,78,23909,23385,12934
44.80860325182435,6,60,24250,23205,13058
45.06465241326336,6,73,23922,23152,12851
45.320701574702355,0,67,23961,23325,12935
45.57675073614135,2,53,23282,23146,12906
45.832799897580344,1,58,23735,23117,12848
46.08884905901934,3,53,23752,22982,12943
46.34489822045833,6,49,23391,22909,12853
46.60094738189733,3,65,23286,23102,12942
46.85699654333632,1,60,23465,22940,12838
47.11304570477532,1,56,23202,22730,12952
47.369094866214326,2,49,23139,22799,12674
47.62514402765332,1,58,23196,22615,12733
47.881193189092315,4,40,23048,22631,12765
48.13724235053131,2,42,22996,22788,12662
48.393291511970304,1,51,22984,22542,12671
48.6493406734093,2,55,22708,22523,12269
48.90538983484829,3,52,22546,22740,12603
49.16143899628729,0,26,22403,22547,12508
49.4174881577263,3,40,22652,22562,12490
49.67353731916529,1,43,22343,22448,12639
49.929586480604286,1,39,22497,22430,12624
50.18563564204328,3,36,22579,22393,12522
50.441684803482275,0,38,22347,22328,12105
50.69773396492127,4,34,22236,22262,12515
50.953783126360264,2,30,22296,22295,12381
51.20983228779926,2,27,22093,22170,12399
51.46588144923827,2,32,21941,22204,12310
51.72193061067726,2,25,22143,22233,12450
51.97797977211626,1,27,21883,22111,12318
52.23402893355525,1,30,21876,22180,12309
52.490078094994246,0,25,21639,22038,12195
52.74612725643324,0,18,21929,21805,12266
53.002176417872235,1,22,21705,21929,11980
53.25822557931123,1,32,21705,21822,12297
53.514274740750224,2,31,21554,22139,12192
53.77032390218923,1,17,21253,21920,11978
54.02637306362823,1,24,21367,21726,12162
54.28242222506722,0,23,21456,21665,12134
54.53847138650622,0,24,21223,21547,11970
54.79452054794521,0,31,21115,21913,11959
55.050569709384206,0,15,20781,21732,11942
55.3066188708232,2,19,21018,21949,11924
55.562668032262195,4,17,21186,21530,11830
55.818717193701204,0,17,20688,21600,11911
56.0747663551402,1,20,20669,21637,12051
56.33081551657919,1,17,20860,21314,12051
56.58686467801819,0,12,20859,21090,11884
56.84291383945718,2,19,20720,21316,11804
57.09896300089618,0,16,20380,21193,11719
57.35501216233517,1,17,20449,21264,11492
57.611061323774166,0,16,20614,21185,11812
57.867110485213175,2,16,20425,21219,11588
58.12315964665217,1,15,20583,21245,11677
58.379208808091164,0,21,20259,21319,11656
58.63525796953016,1,15,20200,21087,11685
58.89130713096915,2,19,20390,21140,11641
59.14735629240815,0,12,20225,20888,11853
59.40340545384714,1,17,19943,20905,11707
59.65945461528614,0,10,19821,21101,11318
59.91550377672513,1,12,19754,21010,11423
60.17155293816414,1,19,19928,20930,11668
60.427602099603135,0,9,19828,20838,11527
60.68365126104213,1,10,19365,20937,11617
60.939700422481124,1,12,19718,20836,11448
61.19574958392012,0,17,19627,20761,11504
61.45179874535911,1,9,19629,20554,11534
61.70784790679811,0,16,19476,20427,11437
61.9638970682371,1,13,19302,20554,11334
62.21994622967611,4,15,19320,20713,11189
62.475995391115106,2,13,19302,20654,11267
62.7320445525541,0,10,19139,20595,11237
62.988093713993095,0,11,19079,20722,11041
63.24414287543209,0,7,18851,20338,11320
63.500192036871084,1,9,18801,20540,11251
63.75624119831008,0,6,18885,20230,11291
64.01229035974907,1,9,19047,20489,11129
64.26833952118807,3,10,18833,20388,11242
64.52438868262706,0,7,18668,20451,11355
64.78043784406606,0,8,18724,20327,11287
65.03648700550505,2,7,18504,20237,11252
65.29253616694405,0,10,18546,20221,10937
65.54858532838307,1,8,18409,20183,11124
65.80463448982206,0,6,18676,19955,11091
66.06068365126106,1,10,18371,20137,10984
66.31673281270005,1,13,18267,19817,10897
66.57278197413905,1,7,18363,19991,10870
66.82883113557804,0,7,18191,19885,10826
67.08488029701704,0,9,18264,19904,10775
67.34092945845603,1,11,18170,19874,10999
67.59697861989503,1,7,18192,19778,10860
67.85302778133402,0,5,18098,19848,10731
68.10907694277302,1,7,17807,19671,10783
68.36512610421201,1,13,18077,19741,10694
68.621175265651,1,6,18055,19659,10777
68.87722442709,2,7,17777,19854,10726
69.133273588529,0,9,17751,19520,10864
69.38932274996799,1,9,17680,19654,10706
69.64537191140701,0,2,17612,19573,10643
69.901421072846,0,5,17565,19311,10760
70.157470234285,0,5,17433,19575,10424
70.413519395724,1,3,17289,19316,10473
70.66956855716299,0,4,17489,19500,10407
70.92561771860198,0,2,17415,18803,10455
71.18166688004098,0,4,17347,19526,10300
71.43771604147997,0,8,17227,19221,10436
71.69376520291897,3,3,17157,18998,10545
71.94981436435796,1,3,17174,19661,10415
72.20586352579696,0,6,17205,19412,10101
72.46191268723595,0,4,17250,19224,10577
72.71796184867495,0,4,17011,19251,10281
72.97401101011394,0,5,16989,19244,10447
73.23006017155294,0,4,16856,19025,10316
73.48610933299193,1,10,16871,18947,10492
73.74215849443092,2,1,16703,19201,10329
73.99820765586995,1,2,17002,18866,10357
74.25425681730894,0,7,16638,18835,10300
74.51030597874794,0,4,16777,18854,10184
74.76635514018693,0,4,16729,19068,10488
75.02240430162593,2,4,16750,18798,10204
75.27845346306492,0,5,16746,18964,10062
75.53450262450392,1,7,16462,18671,10181
75.79055178594291,2,2,16399,19124,10085
76.0466009473819,3,3,16251,18787,10162
76.3026501088209,0,3,16172,18945,10136
76.5586992702599,2,3,16098,18642,10218
76.81474843169889,1,3,16196,18821,9904
77.07079759313788,0,6,16252,18585,10186
77.32684675457688,0,4,16081,18473,9932
77.58289591601587,0,3,15971,18304,9922
77.83894507745487,0,6,16083,18491,9949
78.09499423889386,0,2,16038,18642,10052
78.35104340033288,1,3,15989,18433,9977
78.60709256177188,0,2,16034,18357,9969
78.86314172321087,0,6,16035,18495,10061
79.11919088464987,2,2,15801,18571,9946
79.37524004608886,1,3,15834,18311,9837
79.63128920752786,0,3,15788,18351,9932
79.88733836896685,3,2,15478,18295,9704
80.14338753040585,0,2,15470,18448,9778
80.39943669184484,1,3,15532,18326,9566
80.65548585328384,2,6,15341,18491,9693
80.91153501472283,1,6,15234,18114,9710
81.16758417616182,0,5,15400,18196,9842
81.42363333760082,1,3,15641,18071,9834
81.67968249903981,0,3,15176,18091,9661
81.93573166047881,0,8,15286,17914,9814
82.1917808219178,0,3,15265,18016,9816
82.4478299833568,0,4,15182,17934,9696
82.70387914479582,0,6,14929,18134,9560
82.95992830623481,2,2,15175,17825,9693
83.21597746767381,0,4,15067,17674,9536
83.4720266291128,2,3,14957,17914,9462
83.7280757905518,0,2,14660,17922,9584
83.9841249519908,3,5,14819,17960,9486
84.24017411342979,2,3,14747,18173,9454
84.49622327486878,1,3,14949,17663,9571
84.75227243630778,1,4,14674,17922,9299
85.00832159774677,2,3,14612,17754,9615
85.26437075918577,1,0,14720,17580,9518
85.52041992062476,0,4,14821,17727,9566
85.77646908206376,1,3,14355,17765,9322
86.03251824350275,0,6,14442,17513,9415
86.28856740494174,1,1,14619,17545,9632
86.54461656638074,2,5,14583,17370,9256
86.80066572781976,0,2,14365,17535,9274
87.05671488925876,2,5,14408,17685,9197
